Doc ID,Country,Year,Response,Health relevance (1/0),Health adaptation mandate (1/0),Institutional health role (1/0),Notes,Matched health keywords,Health keyword categories
electricity-act-1997-857-consolidated-text_e923,Sweden,1998.0,Mitigation,1,0,0,,accident;anger;flu;health;ill;injury;mental;stress,communicable_disease;general_health;injury_trauma;mental_health
offshore-wind-energy-act_8c22,Netherlands,2016.0,Mitigation,1,0,0,,ill;mental,communicable_disease;mental_health
law-no-292-2018-on-assessing-the-impact-of-certain-public-and-private-projects-on-the-environment_5903,Romania,2018.0,Mitigation;Adaptation,1,0,0,,accident;anger;emergency;flood;flu;health;ill;mental,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
law-20283-on-recuperation-of-native-forest-and-forestal-promotion_4fe0,Chile,2007.0,Mitigation,1,0,0,,accident;anger;ill;mental,communicable_disease;injury_trauma;mental_health
renewable-energy-amendment-act-2020_eefd,Ghana,2011.0,Mitigation,1,0,0,,GP;ill,communicable_disease;general_health
bui-power-authority-act-2007_1250,Ghana,2007.0,Mitigation,1,1,0,,death;flood;health;ill,communicable_disease;environmental_health;general_health;mortality_morbidity
bui-power-authority-amendment-act-2020_f4f0,Ghana,2007.0,Mitigation,1,0,0,,GP;TB,communicable_disease;general_health
green-economy-and-climate-change-act-of-2024_8543,Zambia,2024.0,Mitigation;Adaptation,1,1,0,,health;hospital;ill;mental;wellbeing,communicable_disease;general_health;mental_health
national-tourism-and-hospitality-act-2015_53f2,Zambia,2015.0,Mitigation,1,1,0,,AIDS;HIV;anger;health;hospital;ill;medical;mental;syndrome;virus;wellbeing,communicable_disease;general_health;mental_health;pathogens_microbiology
the-environmental-management-amendment-act_7624,Zambia,2011.0,Mitigation;Adaptation;Disaster Risk Management,1,1,0,,accident;emergency;flu;health;healthcare;mental,communicable_disease;general_health;injury_trauma;mental_health
the-environmental-management-act-2011_901a,Zambia,2011.0,Mitigation;Adaptation;Disaster Risk Management,1,1,0,,air pollution;anger;death;disease;emergency;flu;health;hospital;human life;ill;infection;injury;medical;mental;wellbeing,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity
law-18621-creation-of-national-public-and-permanent-emergency-system-2009_531b,Uruguay,2009.0,Disaster Risk Management,1,0,0,,emergency;health;health service;ill;mental,communicable_disease;general_health;mental_health
law-337-consolidated-text-law-creating-the-national-system-for-disaster-prevention-mitigation-and-response-2019-texto-consolidado-ley-creadora-del-sistema-nacional-para-la-prevencion-mitigacion-y-atencion-de-desastres_6347,Nicaragua,2000.0,Disaster Risk Management,1,0,0,,anger;emergency;flood;health;ill;medical;mental,communicable_disease;environmental_health;general_health;mental_health
law-14-995-2024_bd9a,Brazil,2024.0,Mitigation;Adaptation,1,0,0,,hunger;ill,communicable_disease;nutrition
environmental-protection-act-2025_fe45,Ghana,2025.0,Mitigation;Adaptation;Disaster Risk Management;Loss And Damage,1,0,0,,CHD;CKD;CVD;GP;HIV;LBW;NCD;TB;flu;ill,communicable_disease;general_health;maternal_child_health;non_communicable_disease
revised-implementing-rules-and-regulations-r-irr-of-republic-act-no-9729-otherwise-known-as-the-climate-change-act-of-2009-as-amended-by-republic-act-no-10174_129a,Philippines,2009.0,Adaptation;Disaster Risk Management;Mitigation,1,0,0,,GP;TB,communicable_disease;general_health
republic-act-no-10174-amending-republic-act-no-9279_815c,Philippines,2009.0,Adaptation;Disaster Risk Management;Mitigation,1,1,1,,TB;anger;disease;diseases;drought;flood;flu;health;ill;illness;illnesses;mental;vector-borne disease;vector-borne diseases,communicable_disease;environmental_health;general_health;mental_health;vector_borne_zoonotic
republic-act-no-9729_8436,Philippines,2009.0,Adaptation;Disaster Risk Management;Mitigation,1,1,1,,TB;anger;disease;diseases;drought;flood;flu;health;ill;illness;illnesses;mental,communicable_disease;environmental_health;general_health;mental_health
civil-protection-disaster-prevention-and-mitigation-law-ley-de-proteccion-civil-prevencion-y-mitigacion-de-desastres_0c1b,El Salvador,2005.0,Disaster Risk Management,1,0,0,,ill,communicable_disease
law-20-444-creates-the-national-reconstruction-fund-ley-20-444-crea-el-fondo-nacional-de-la-reconstruccion_550d,Chile,2010.0,Disaster Risk Management,1,0,0,,ill,communicable_disease
law-creating-the-civil-protection-disaster-prevention-and-mitigation-fund-ley-de-creacion-del-fondo-de-proteccion-civil-prevencion-y-mitigacion-de-desastres_e806,El Salvador,2005.0,Disaster Risk Management,1,0,0,,ill,communicable_disease
implementing-a-guiding-law-relating-to-the-prevention-and-management-of-risks-humanitarian-crises-and-disasters-portant-loi-dorientation-relative-a-la-prevention-et-a-la-gestion-des-risques-des-crises-humanitaires-et-des-catastrophes_76ab,Burkina Faso,2014.0,Disaster Risk Management,1,0,0,,ill,communicable_disease
strengthening-environmental-protection-for-a-healthier-canada-act-s-c-2023-c-12_c641,Canada,2023.0,Mitigation;Adaptation,1,1,0,,AIDS;CHD;GP;HIV;NCD;TB;alcohol;anger;anxiety;arsenic;distress;emergency;flu;health;human life;ill;injury;mental;prion;stress;virus,communicable_disease;food_waterborne;general_health;injury_trauma;mental_health;mortality_morbidity;non_communicable_disease;pathogens_microbiology;substance_use
building-code-updated-2021_4c1c,New Zealand,2021.0,Mitigation,1,1,0,,GP;health;healthcare;hospital;ill;medical;mental;wellbeing,communicable_disease;general_health;mental_health
environment-protection-law_989d,Vietnam,2020.0,Mitigation,1,1,1,,GP;HIV;accident;air pollution;anger;disease;diseases;doctor;emergency;epidemic;epidemics;flu;health;hospital;ill;infection;loss of life;loss of lives;medical;mental;pathogen;pathogens;toxins;virus,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity;pathogens_microbiology
notification-no-402-tb-vpcp-introduction-of-auction-scheme-for-large-scale-solar-projects_1087,Vietnam,2019.0,Mitigation,1,1,0,,CHD;COVID;COVID-19;GP;TB;air pollution;anger;coronavirus;emergency;epidemic;health;healthcare;hospital;ill;medical;mental;pandemic;virus,communicable_disease;environmental_health;general_health;mental_health;non_communicable_disease;pathogens_microbiology
scrapping-scheme-programme-for-old-vehicles_c1b9,Türkiye,2019.0,Mitigation,1,1,0,,TB;flu;ill,communicable_disease
resolution-no-16-of-october-2018-on-biofuels_2ad5,Brazil,2018.0,Mitigation,1,0,0,,ill,communicable_disease
resolution-520-2018-on-regulation-of-solar-thermal-heaters_fddd,Argentina,2018.0,Mitigation,1,1,0,,GP;accident;air pollution;anger;cancer;cardiovascular disease;chronic respiratory disease;diabetes;disease;emergency;flu;health;ill;mental;respiratory;stress;well-being,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;non_communicable_disease
wetlands-conservation-law-of-the-people-s-republic-of-china_ca16,China,2021.0,Mitigation,1,1,0,,anger;emergency;flood;ill;mental,communicable_disease;environmental_health;general_health;mental_health
act-on-the-promotion-of-global-warming-countermeasures_f5a7,Japan,1998.0,Mitigation,1,1,0,,anger;flu;health;ill;mental,communicable_disease;general_health;mental_health
law-on-the-electricity-industry_26c2,Mexico,2014.0,Mitigation,1,0,0,,CHD;GP;TB;emergency;ill;mental,communicable_disease;general_health;mental_health;non_communicable_disease
regulations-on-the-silviculture-and-reforestation-in-natural-forest-protection-programme_a87a,China,2010.0,Mitigation,1,1,0,,disease;flu;health;health care;ill;mental,communicable_disease;general_health;mental_health
regulation-no-3-2008-on-the-management-of-forests_cb58,Indonesia,2008.0,Mitigation,1,1,0,,CHD;GP;LBW;TB;disease;flu;ill;mental,communicable_disease;general_health;maternal_child_health;mental_health;non_communicable_disease
agricultural-chemicals-regulation-law_dd0e,Japan,2007.0,Mitigation,1,1,0,,disease;diseases;epidemic;epidemics;health;ill;mental;virus,communicable_disease;general_health;mental_health;pathogens_microbiology
environmental-management-and-coordination-waste-management-regulations-2006_462e,Kenya,2006.0,Mitigation,1,1,0,,mental,mental_health
general-environmental-law-no-28611_6310,Peru,2005.0,Mitigation,1,1,1,,anger;emergency;flu;health;ill;injury;mental;mental health;well-being,communicable_disease;general_health;injury_trauma;mental_health
law-no-148-2002-law-for-the-promotion-of-nature-restoration_1df9,Japan,2002.0,Mitigation,1,1,0,,ill;mental,communicable_disease;mental_health
